id,name,email,phone,city,status,description,date_reported,value_estimate,duplicate_field
0,,user0@example.com,491701234567,Munich,Found,Lost black wallet near library,,,
1,,,491701234567,Berlin,Lost,,,192.08,
2,Charlie,user2@example.com,123456789,Berlin,,Blue backpack missing,,447.75,
3,Peggy,user3@example.com,123456789,Hamburg,Lost,Lost black wallet near library,,,duplicate
4,Mallory,,,Berlin,,,,,
5,,user5@example.com,123456789,Munich,Found,Blue backpack missing,,,
6,Oscar,user6@example.com,,Frankfurt,Lost,Blue backpack missing,,138.66,
7,Peggy,user7@example.com,,Berlin,Lost,Lost black wallet near library,,94.69,duplicate
8,Eve,user8@example.com,491701234567,Berlin,Found,,,,
9,Mallory,user9@example.com,,Berlin,Found,,,284.08,duplicate
,Bob,,,,Lost,,,,duplicate
11,Mallory,user11@example.com,491701234567,Hamburg,Lost,,,,
12,Alice,user12@example.com,123456789,Berlin,Found,Blue backpack missing,,441.81,duplicate
13,Charlie,user13@example.com,,Hamburg,Found,Blue backpack missing,,,duplicate
14,David,user14@example.com,,Berlin,Found,Lost black wallet near library,,15.71,
15,Charlie,,491701234567,Cologne,,,,,
16,Eve,user16@example.com,,Frankfurt,Found,Lost black wallet near library,,,
17,Mallory,user17@example.com,123456789,,,,,439.22,
18,Alice,user18@example.com,123456789,Berlin,,,,,duplicate
19,Oscar,user19@example.com,123456789,Frankfurt,,Blue backpack missing,,198.8,
20,Oscar,,,,Lost,,,93.56,
21,Oscar,,,Berlin,,Lost black wallet near library,,457.69,duplicate
22,,user22@example.com,491701234567,Berlin,Found,Found keys at cafeteria,,,
23,Peggy,user23@example.com,123456789,Frankfurt,,Lost black wallet near library,,,
24,Peggy,user24@example.com,491701234567,Cologne,Lost,Found keys at cafeteria,,,
25,,user25@example.com,,Munich,,,,,
26,David,user26@example.com,491701234567,Munich,,Blue backpack missing,,,
27,Mallory,user27@example.com,123456789,Berlin,,Found keys at cafeteria,,,duplicate
28,Charlie,user28@example.com,491701234567,Berlin,,Found keys at cafeteria,,,
29,Peggy,user29@example.com,,Berlin,Lost,Blue backpack missing,,,
