id,name,email,phone,city,status,description,date_reported,value_estimate,duplicate_field
0,,user0@example.com,+49 170 1234567,Munich,FOUND,Lost black wallet near library,,,
1,,invalid-email,+49 170 1234567,berlin ,Lost,,,192.08,
2,Charlie,user2@example.com,123456789,berlin ,,Blue backpack missing,1723662714.826861,447.75,
3,Peggy,user3@example.com,123456789,Hamburg,lost,Lost black wallet near library,2024-01-16,unknown,duplicate
4,Mallory,invalid-email,,Berlin,,,09-29-2025,,
5,,user5@example.com,123456789,Munich,FOUND,Blue backpack missing,04-28-2024,,
6,Oscar,user6@example.com,,Frankfurt,lost,Blue backpack missing,1712776314.826902,138.66,
7,Peggy,user7@example.com,abc123,Berlin,Lost,Lost black wallet near library,28/03/2024,94.69,duplicate
8,Eve,user8@example.com,+49 170 1234567,berlin ,FOUND,,14/11/2023,unknown,
9,Mallory,user9@example.com,,berlin ,Found,,2025-01-21,284.08,duplicate
,Bob,invalid-email,,,lost,,2024-07-04,unknown,duplicate
11,Mallory,user11@example.com,+49 170 1234567,Hamburg,lost,,07-03-2025,unknown,
12,Alice,user12@example.com,123456789,berlin ,Found,Blue backpack missing,,441.81,duplicate
13,Charlie,user13@example.com,abc123,Hamburg,FOUND,Blue backpack missing,1740683514.826986,unknown,duplicate
14,David,user14@example.com,,berlin ,FOUND,Lost black wallet near library,10-26-2024,15.71,
15,Charlie,invalid-email,00491701234567,Cologne,,,,,
16,Eve,user16@example.com,,Frankfurt,FOUND,Lost black wallet near library,23/06/2024,,
17,Mallory,user17@example.com,123456789,,,,11-11-2023,439.22,
18,Alice,user18@example.com,123456789,berlin ,,,08-26-2024,unknown,duplicate
19,Oscar,user19@example.com,123456789,Frankfurt,,Blue backpack missing,2024-07-19,198.8,
20,Oscar,invalid-email,,,lost,,2025-08-28,93.56,
21,Oscar,invalid-email,,Berlin,,Lost black wallet near library,2025-08-11,457.69,duplicate
22,,user22@example.com,+49 170 1234567,Berlin,Found,Found keys at cafeteria,,unknown,
23,Peggy,user23@example.com,123456789,Frankfurt,,Lost black wallet near library,,unknown,
24,Peggy,user24@example.com,+49 170 1234567,Cologne,Lost,Found keys at cafeteria,23/11/2023,,
25,,user25@example.com,abc123,MUNICH,,,09/06/2024,unknown,
26,David,user26@example.com,+49 170 1234567,MUNICH,,Blue backpack missing,2025-12-04,unknown,
27,Mallory,user27@example.com,123456789,berlin ,,Found keys at cafeteria,03/03/2025,unknown,duplicate
28,Charlie,user28@example.com,+49 170 1234567,berlin ,,Found keys at cafeteria,2024-07-16,unknown,
29,Peggy,user29@example.com,,berlin ,lost,Blue backpack missing,1739214714.827161,unknown,
30,Oscar,user30@example.com,123456789,,Found,Found keys at cafeteria,17/09/2023,29.42,
31,,user31@example.com,+49 170 1234567,Berlin,Found,,,unknown,
32,Eve,user32@example.com,00491701234567,MUNICH,,,20/12/2025,432.45,
33,,user33@example.com,00491701234567,Hamburg,,,,,
34,Mallory,user34@example.com,,Munich,,Lost black wallet near library,08-24-2023,165.49,
35,Charlie,user35@example.com,00491701234567,Frankfurt,lost,Lost black wallet near library,2024-09-07,398.45,duplicate
36,,user36@example.com,00491701234567,Berlin,Found,,2024-11-30,489.29,duplicate
37,,user37@example.com,00491701234567,Munich,Found,Found keys at cafeteria,1690830714.827267,unknown,
38,David,user38@example.com,123456789,MUNICH,FOUND,Found keys at cafeteria,,,
39,,user39@example.com,+49 170 1234567,Frankfurt,FOUND,,09-06-2025,,
40,Oscar,user40@example.com,abc123,Cologne,lost,,13/06/2024,8.07,
